Frequency(Hz),Power(dBm),Power_real(dBm)
10000000,-89.99797058,-89.95903128
16990000,-121.7083435,-121.6575327
23980000,-90.33776855,-90.27735086
30970000,-122.8352585,-122.7665457
37960000,-91.17431641,-91.09819232
44950000,-123.3665619,-123.2836743
51940000,-90.57323456,-90.48408448
58930000,-120.2710419,-120.1760321
65920000,-90.67177582,-90.57123898
72910000,-121.9324493,-121.8266665
79900000,-89.40859985,-89.29781248
86890000,-122.5197144,-122.4041328
93880000,-88.19340515,-88.07321481
100870000,-122.4860687,-122.3614346
107860000,-85.52971649,-85.40078686
114850000,-124.8380508,-124.7049596
121840000,-89.17411804,-89.03698713
128830000,-123.0175629,-122.8765039
135820000,-90.09879303,-89.95390845
142810000,-122.7515488,-122.6029334
149800000,-89.18546295,-89.0332047
156790000,-121.6234207,-121.4676014
163780000,-88.96450806,-88.80520401
170770000,-121.1406631,-120.9779459
177760000,-90.82474518,-90.658682
184750000,-124.0690613,-123.8997154
191740000,-89.69958496,-89.52701609
198730000,-122.3621063,-122.1863709
205720000,-90.13706207,-89.95821369
212710000,-121.715271,-121.5333604
219700000,-90.69113922,-90.50621479
226690000,-121.5828247,-121.3949325
233680000,-90.23258972,-90.04177358
240670000,-124.0109634,-123.8172653
247660000,-90.42896271,-90.23242286
254650000,-125.5911102,-125.391767
261640000,-90.8482132,-90.64610362
268630000,-122.8566284,-122.6517878
275620000,-88.63516998,-88.42763244
282610000,-121.8587494,-121.6485477
289600000,-89.21026611,-88.99743174
296590000,-121.6856079,-121.4701713
303580000,-90.28559113,-90.06758165
310570000,-120.8839188,-120.6633648
317560000,-89.61203003,-89.38895887
324550000,-121.9852142,-121.7596524
331540000,-90.55529785,-90.327271
338530000,-128.8756866,-128.6452196
345520000,-90.00815582,-89.77527264
352510000,-122.6833878,-122.4481118
359500000,-90.93092346,-90.69327735
366490000,-126.0541916,-125.8141973
373480000,-90.8293457,-90.58702464
380470000,-126.9058762,-126.6612491
387460000,-90.95777893,-90.71086603
394450000,-121.4811935,-121.2320144
401440000,-85.46892548,-85.21749936
