Frequency (Hz),Power (dBm)
10000000,-89.9979705810547
16990000,-121.708343505859
23980000,-90.3377685546875
30970000,-122.835258483887
37960000,-91.17431640625
44950000,-123.366561889648
51940000,-90.5732345581055
58930000,-120.271041870117
65920000,-90.6717758178711
72910000,-121.93244934082
79900000,-89.4085998535156
86890000,-122.519714355469
93880000,-88.1934051513672
100870000,-122.486068725586
107860000,-85.5297164916992
114850000,-124.838050842285
121840000,-89.1741180419922
128830000,-123.017562866211
135820000,-90.0987930297852
142810000,-122.75154876709
149800000,-89.1854629516602
156790000,-121.623420715332
163780000,-88.9645080566406
170770000,-121.140663146973
177760000,-90.8247451782227
184750000,-124.069061279297
191740000,-89.6995849609375
198730000,-122.362106323242
205720000,-90.1370620727539
212710000,-121.715270996094
219700000,-90.6911392211914
226690000,-121.582824707031
233680000,-90.2325897216797
240670000,-124.010963439941
247660000,-90.4289627075195
254650000,-125.591110229492
261640000,-90.8482131958008
268630000,-122.856628417969
275620000,-88.6351699829102
282610000,-121.858749389648
289600000,-89.2102661132813
296590000,-121.685607910156
303580000,-90.2855911254883
310570000,-120.883918762207
317560000,-89.6120300292969
324550000,-121.985214233398
331540000,-90.5552978515625
338530000,-128.875686645508
345520000,-90.0081558227539
352510000,-122.683387756348
359500000,-90.9309234619141
366490000,-126.054191589355
373480000,-90.829345703125
380470000,-126.905876159668
387460000,-90.9577789306641
394450000,-121.48119354248
401440000,-85.4689254760742
408430000,-126.682586669922
415420000,-89.7674255371094
422410000,-124.807838439941
429400000,-89.3616180419922
436390000,-119.780387878418
443380000,-89.5791702270508
450370000,-127.037521362305
457360000,-79.6174392700195
464350000,-122.030830383301
471340000,-89.5130462646484
478330000,-123.714126586914
485320000,-89.4030075073242
492310000,-125.171043395996
499300000,-89.6875
506290000,-120.483985900879
513280000,-89.7789535522461
520270000,-121.184387207031
527260000,-89.584602355957
534250000,-123.231834411621
541240000,-80.7184143066406
548230000,-122.443794250488
555220000,-86.2894134521484
562210000,-122.44490814209
569200000,-90.0759506225586
576190000,-126.081985473633
583180000,-89.9875564575195
590170000,-127.399307250977
597160000,-89.456916809082
604150000,-120.582153320313
611140000,-89.5239791870117
618130000,-121.088256835938
625120000,-89.4370193481445
632110000,-123.003051757813
639100000,-77.0546035766602
646090000,-121.853843688965
653080000,-80.2268981933594
660070000,-117.594512939453
667060000,-76.535270690918
674050000,-126.973793029785
681040000,-86.6286087036133
688030000,-119.628372192383
695020000,-86.7100830078125
702010000,-119.264167785645
709000000,-89.2099838256836
715990000,-127.315940856934
722980000,-88.9082946777344
729970000,-119.456161499023
736960000,-88.5847854614258
743950000,-131.005126953125
750940000,-89.1973495483398
757930000,-121.668464660645
764920000,-88.7571868896484
771910000,-123.35368347168
778900000,-64.9763031005859
785890000,-98.4223251342773
792880000,-65.2941055297852
799870000,-118.518913269043
806860000,-89.278923034668
813850000,-119.970520019531
820840000,-87.8554229736328
827830000,-119.111068725586
834820000,-89.2762451171875
841810000,-118.984260559082
